version arch expr factor false groups hostid hostname link logname nohup printf sleep test true tsort unlink uptime users whoami yes
v8.19 - 796 449 2 98 52 80 60 56 164 544 105 663 50 374 55 194 105 63 58
v8.20 - 796 1857 2 98 52 80 60 56 164 544 105 663 50 374 55 194 105 63 58
v8.21 - 796 1868 2 98 52 80 60 56 164 544 105 663 50 374 55 194 105 63 58
v8.22 - 790 1868 2 98 52 80 60 56 164 544 105 663 50 374 55 195 105 63 58
v8.23 - 790 1857 2 98 52 80 60 56 164 544 105 663 50 373 55 195 105 63 58
v8.24 - 790 1914 2 98 52 80 60 53 158 544 105 665 50 375 55 195 105 60 96
v8.25 - 789 1908 2 100 52 81 60 53 157 557 105 667 50 376 55 195 105 60 96
v8.26 - 789 1914 2 100 52 82 61 54 157 558 106 672 50 377 56 196 106 61 86
v8.27 - 789 1928 2 100 52 82 61 54 157 558 106 672 50 377 56 196 106 61 86
v8.28 - 865 1928 2 103 52 82 61 54 153 558 105 673 50 377 56 196 106 61 86
v8.29 - 870 1928 2 103 56 86 65 58 157 558 109 673 50 381 60 200 110 65 90
v8.30 - 870 1928 2 103 56 86 65 58 157 558 109 673 50 381 60 200 110 65 90
v8.31 - 870 1928 2 103 50 80 59 52 151 558 102 657 50 375 54 194 104 59 84
v8.32 - 870 1928 2 103 50 80 59 52 151 558 102 657 50 375 54 195 104 59 88
v9.0 - 777 1900 2 103 50 81 59 52 151 558 102 657 50 376 54 195 104 59 88
v9.1 - 779 1909 2 103 50 80 59 52 151 574 102 653 50 368 54 194 104 59 88
