Software System,Repository (url),Version/Commit,#LOCs (cloc),Documentation of options (url),#Options (manual search),Paper (url)
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
#VALUE!,,,,,,
