Utility,Nr_options,RT_options
split,31,"['-a', '--suffix', '-length', '--additional', '-suffix', '-b', '--bytes', '-C', '--line', '-bytes', '-d', '--numeric', '-suffixes', '-d', '-x', '--hex', '-suffixes', '-x', '-e', '--elide', '-empty', '-files', '-n', '--filter', '-l', '--lines', '-n', '--number', '-t', '--separator', '-u', '--unbuffered', '-n', '--verbose', '--help', '--version']"
unexpand,8,"['-a', '--all', '--first', '-only', '-a', '-t', '--tabs', '-a', '-t', '--tabs', '--help', '--version']"
pwd,6,"['-L', '--logical', '-P', '--physical', '--help', '--version', '-P']"
touch,17,"['-c', '-h', '-a', '-c', '--no', '-create', '-d', '--date', '-f', '-h', '--no', '-dereference', '-m', '-r', '--reference', '-t', '--time', '-a', '-m', '--help', '--version', '-d', '-t', '-date']"
link,2,"['--help', '--version']"
sleep,2,"['--help', '--version']"
false,2,"['--help', '--version']"
groups,2,"['--help', '--version']"
dcgen,1,['--help']
date,31,"['-u', '--utc', '--universal', '-s', '-d', '--date', '--debug', '-f', '--file', '--date', '-I', '--iso', '-8601', '-08', '-14T02', '-06', '--resolution', '-R', '--rfc', '-email', '-0600', '--rfc', '-3339', '-08', '-14', '-06', '-r', '--reference', '-s', '--set', '-u', '--utc', '--universal', '--help', '--version', '--date', '--file', '--reference', '--resolution', '-hour', '-hour', '-01', '-01', '-0400', '-04', '-04', '-04', '-01', '-01', '--date', '--date']"
test,0,[]
nice,5,"['-20', '-n', '--adjustment', '--help', '--version']"
sha256sum,23,"['-bit', '-b', '--binary', '-c', '--check', '--tag', '-style', '-t', '--text', '-z', '--zero', '--ignore', '-missing', '--quiet', '--status', '--strict', '-zero', '-w', '--warn', '--help', '--version', '-180', '-2']"
base32,10,"['-d', '--decode', '-i', '--ignore', '-garbage', '-alphabet', '-w', '--wrap', '--help', '--version', '--ignore', '-garbage', '-alphabet']"
sha224sum,21,"['-bit', '-b', '--binary', '-c', '--check', '--tag', '-style', '-t', '--text', '-z', '--zero', '--ignore', '-missing', '--quiet', '--status', '--strict', '-zero', '-w', '--warn', '--help', '--version']"
shuf,20,"['-e', '-i', '-HI', '-e', '--echo', '-i', '--input', '-range', '-HI', '-n', '--head', '-count', '-o', '--output', '--random', '-source', '-r', '--repeat', '-z', '--zero', '-terminated', '--help', '--version']"
